game_id,season,week,date,home_team,away_team,home_score,away_score,Winner,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_td,home_pass_int,home_pass_sacked,home_pass_sacked_yds,home_rush_att,home_rush_yds,home_rush_td,home_first_down,home_penalties,home_penalties_yds,home_fumbles_lost,home_plays_offense,home_fga,home_fgm,home_xpa,home_xpm,home_punt,home_punt_yds,home_turnovers,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_td,away_pass_int,away_pass_sacked,away_pass_sacked_yds,away_rush_att,away_rush_yds,away_rush_td,away_first_down,away_penalties,away_penalties_yds,away_fumbles_lost,away_plays_offense,away_fga,away_fgm,away_xpa,away_xpm,away_punt,away_punt_yds,away_turnovers,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface,temp,wind,game_type,weekday,gametime,location,home_coach,away_coach,referee
2025_03_MIA_BUF,2025,3,2025-09-18,BUF,MIA,31.0,21.0,BUF,22.0,30.0,213.0,3.0,0.0,2.0,0.0,27.0,157.0,1.0,23.0,6.0,72.0,0.0,74.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,22.0,34.0,146.0,2.0,1.0,0.0,0.0,25.0,130.0,1.0,19.0,3.0,20.0,0.0,76.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,12.5,50.5,-800.0,550.0,New Era Field,outdoors,a_turf,68.0,7.0,REG,Thursday,20:15,Home,Sean McDermott,Mike McDaniel,Alan Eck
2025_03_ATL_CAR,2025,3,2025-09-21,CAR,ATL,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,44.5,180.0,-218.0,Bank of America Stadium,outdoors,grass,,,REG,Sunday,13:00,Home,Dave Canales,Raheem Morris,
2025_03_GB_CLE,2025,3,2025-09-21,CLE,GB,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.5,41.5,370.0,-485.0,FirstEnergy Stadium,outdoors,grass,,,REG,Sunday,13:00,Home,Kevin Stefanski,Matt LaFleur,
2025_03_HOU_JAX,2025,3,2025-09-21,JAX,HOU,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,43.5,-125.0,105.0,TIAA Bank Stadium,outdoors,grass,,,REG,Sunday,13:00,Home,Liam Coen,DeMeco Ryans,
2025_03_CIN_MIN,2025,3,2025-09-21,MIN,CIN,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,41.5,-162.0,136.0,U.S. Bank Stadium,dome,sportturf,,,REG,Sunday,13:00,Home,Kevin O'Connell,Zac Taylor,
2025_03_PIT_NE,2025,3,2025-09-21,NE,PIT,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,44.5,110.0,-130.0,Gillette Stadium,outdoors,fieldturf,,,REG,Sunday,13:00,Home,Mike Vrabel,Mike Tomlin,
2025_03_LA_PHI,2025,3,2025-09-21,PHI,LA,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,44.5,-185.0,154.0,Lincoln Financial Field,outdoors,grass,,,REG,Sunday,13:00,Home,Nick Sirianni,Sean McVay,
2025_03_NYJ_TB,2025,3,2025-09-21,TB,NYJ,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,43.5,-310.0,250.0,Raymond James Stadium,outdoors,grass,,,REG,Sunday,13:00,Home,Todd Bowles,Aaron Glenn,
2025_03_IND_TEN,2025,3,2025-09-21,TEN,IND,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5,43.5,185.0,-225.0,Nissan Stadium,outdoors,grass,,,REG,Sunday,13:00,Home,Brian Callahan,Shane Steichen,
2025_03_LV_WAS,2025,3,2025-09-21,WAS,LV,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,43.5,-155.0,130.0,FedExField,outdoors,grass,,,REG,Sunday,13:00,Home,Dan Quinn,Pete Carroll,
2025_03_DEN_LAC,2025,3,2025-09-21,LAC,DEN,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,46.5,-162.0,136.0,SoFi Stadium,dome,matrixturf,,,REG,Sunday,16:05,Home,Jim Harbaugh,Sean Payton,
2025_03_NO_SEA,2025,3,2025-09-21,SEA,NO,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,41.5,-375.0,295.0,Lumen Field,outdoors,fieldturf,,,REG,Sunday,16:05,Home,Mike Macdonald,Kellen Moore,
2025_03_DAL_CHI,2025,3,2025-09-21,CHI,DAL,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,50.5,100.0,-120.0,Soldier Field,outdoors,grass,,,REG,Sunday,16:25,Home,Ben Johnson,Brian Schottenheimer,
2025_03_ARI_SF,2025,3,2025-09-21,SF,ARI,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,44.5,-130.0,110.0,Levi's Stadium,outdoors,grass,,,REG,Sunday,16:25,Home,Kyle Shanahan,Jonathan Gannon,
2025_03_KC_NYG,2025,3,2025-09-21,NYG,KC,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,44.5,260.0,-325.0,MetLife Stadium,outdoors,fieldturf,,,REG,Sunday,20:20,Home,Brian Daboll,Andy Reid,
2025_03_DET_BAL,2025,3,2025-09-22,BAL,DET,,,TIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,53.5,-225.0,185.0,M&T Bank Stadium,outdoors,grass,,,REG,Monday,20:15,Home,John Harbaugh,Dan Campbell,
