game_id,season,week,date,home_team,away_team,home_score,away_score,Winner,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_td,home_pass_int,home_pass_sacked,home_pass_sacked_yds,home_rush_att,home_rush_yds,home_rush_td,home_first_down,home_penalties,home_penalties_yds,home_fumbles_lost,home_plays_offense,home_fga,home_fgm,home_xpa,home_xpm,home_punt,home_punt_yds,home_turnovers,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_td,away_pass_int,away_pass_sacked,away_pass_sacked_yds,away_rush_att,away_rush_yds,away_rush_td,away_first_down,away_penalties,away_penalties_yds,away_fumbles_lost,away_plays_offense,away_fga,away_fgm,away_xpa,away_xpm,away_punt,away_punt_yds,away_turnovers,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface,temp,wind,game_type,weekday,gametime,location,home_coach,away_coach,referee
2014_01_GB_SEA,2014,1,2014-09-04,SEA,GB,36.0,16.0,SEA,19.0,29.0,191.0,2.0,0.0,1.0,0.0,37.0,207.0,2.0,25.0,7.0,55.0,0.0,87.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,23.0,37.0,189.0,1.0,1.0,3.0,0.0,21.0,80.0,1.0,19.0,5.0,79.0,1.0,75.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.5,46.5,-230.0,205.0,CenturyLink Field,outdoors,fieldturf,71.0,11.0,REG,Thursday,20:30,Home,Pete Carroll,Mike McCarthy,John Parry
2014_01_NO_ATL,2014,1,2014-09-07,ATL,NO,37.0,34.0,ATL,31.0,44.0,448.0,3.0,0.0,1.0,0.0,25.0,123.0,1.0,28.0,6.0,47.0,1.0,93.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,29.0,42.0,333.0,1.0,1.0,0.0,0.0,28.0,139.0,3.0,30.0,7.0,76.0,1.0,92.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,-3.0,51.0,144.0,-160.0,Georgia Dome,dome,fieldturf,,,REG,Sunday,13:00,Home,Mike Smith,Sean Payton,Bill Leavy
2014_01_CIN_BAL,2014,1,2014-09-07,BAL,CIN,16.0,23.0,CIN,35.0,65.0,345.0,1.0,1.0,3.0,0.0,21.0,94.0,1.0,25.0,4.0,46.0,1.0,104.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,25.0,39.0,301.0,1.0,0.0,0.0,0.0,26.0,79.0,0.0,16.0,3.0,28.0,0.0,82.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,43.5,-113.0,102.0,M&T Bank Stadium,outdoors,sportturf,74.0,8.0,REG,Sunday,13:00,Home,John Harbaugh,Marvin Lewis,Gene Stetatore
2014_01_BUF_CHI,2014,1,2014-09-07,CHI,BUF,20.0,23.0,BUF,34.0,51.0,349.0,2.0,2.0,2.0,0.0,18.0,86.0,0.0,28.0,9.0,116.0,1.0,90.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,16.0,23.0,173.0,1.0,1.0,1.0,0.0,33.0,193.0,1.0,15.0,4.0,35.0,0.0,75.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,7.0,47.0,-270.0,239.0,Soldier Field,outdoors,grass,74.0,3.0,REG,Sunday,13:00,Home,Marc Trestman,Doug Marrone,Brad Allen
2014_01_WAS_HOU,2014,1,2014-09-07,HOU,WAS,17.0,6.0,HOU,14.0,22.0,206.0,1.0,0.0,0.0,0.0,34.0,115.0,0.0,15.0,6.0,56.0,1.0,74.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,29.0,40.0,267.0,0.0,0.0,3.0,0.0,23.0,131.0,1.0,20.0,7.0,60.0,2.0,78.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,43.5,-177.0,159.0,NRG Stadium,closed,grass,,,REG,Sunday,13:00,Home,Bill O'Brien,Jay Gruden,Jerome Boger
2014_01_TEN_KC,2014,1,2014-09-07,KC,TEN,10.0,26.0,TEN,19.0,39.0,202.0,1.0,3.0,4.0,0.0,17.0,67.0,0.0,15.0,5.0,50.0,0.0,75.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,22.0,37.0,266.0,2.0,0.0,4.0,0.0,38.0,162.0,0.0,23.0,10.0,85.0,0.0,101.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,45.5,-160.0,144.0,Arrowhead Stadium,outdoors,grass,69.0,7.0,REG,Sunday,13:00,Home,Andy Reid,Ken Whisenhunt,Ronald Torbert
2014_01_NE_MIA,2014,1,2014-09-07,MIA,NE,33.0,20.0,MIA,18.0,33.0,178.0,2.0,1.0,1.0,0.0,38.0,191.0,1.0,24.0,7.0,70.0,2.0,93.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,29.0,60.0,249.0,1.0,0.0,4.0,0.0,20.0,89.0,1.0,20.0,6.0,56.0,2.0,105.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,-3.5,47.5,161.0,-179.0,Sun Life Stadium,outdoors,grass,89.0,0.0,REG,Sunday,13:00,Home,Joe Philbin,Bill Belichick,Walt Anderson
2014_01_OAK_NYJ,2014,1,2014-09-07,NYJ,OAK,19.0,14.0,NYJ,23.0,32.0,221.0,1.0,1.0,2.0,0.0,34.0,212.0,1.0,20.0,8.0,69.0,1.0,87.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,6.5,41.0,-278.0,246.0,MetLife Stadium,outdoors,fieldturf,76.0,12.0,REG,Sunday,13:00,Home,Rex Ryan,Dennis Allen,Craig Wrolstad
2014_01_JAX_PHI,2014,1,2014-09-07,PHI,JAX,34.0,17.0,PHI,27.0,50.0,322.0,2.0,1.0,5.0,0.0,32.0,145.0,1.0,23.0,6.0,50.0,2.0,104.0,2.0,2.0,4.0,4.0,0.0,0.0,3.0,24.0,46.0,266.0,2.0,0.0,3.0,0.0,24.0,64.0,0.0,18.0,7.0,55.0,1.0,98.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,10.0,49.0,-515.0,435.0,Lincoln Financial Field,outdoors,grass,75.0,9.0,REG,Sunday,13:00,Home,Chip Kelly,Gus Bradley,Jeff Triplette
2014_01_CLE_PIT,2014,1,2014-09-07,PIT,CLE,30.0,27.0,PIT,24.0,38.0,390.0,1.0,1.0,3.0,0.0,29.0,127.0,2.0,24.0,9.0,67.0,0.0,92.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,18.0,33.0,222.0,1.0,0.0,3.0,0.0,31.0,191.0,2.0,22.0,10.0,84.0,0.0,89.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,5.5,41.5,-242.0,216.0,Heinz Field,outdoors,grass,71.0,6.0,REG,Sunday,13:00,Home,Mike Tomlin,Mike Pettine,Carl Cheffers
2014_01_MIN_STL,2014,1,2014-09-07,STL,MIN,6.0,34.0,MIN,,,,,,,,,,,,,,,,,,,,,,,17.0,25.0,170.0,2.0,0.0,0.0,0.0,32.0,185.0,1.0,17.0,11.0,99.0,0.0,81.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,43.5,-155.0,140.0,Edward Jones Dome,dome,astroplay,,,REG,Sunday,13:00,Home,Jeff Fisher,Mike Zimmer,Ed Hochuli
2014_01_SF_DAL,2014,1,2014-09-07,DAL,SF,17.0,28.0,SF,23.0,40.0,281.0,1.0,3.0,3.0,0.0,23.0,127.0,1.0,26.0,15.0,98.0,1.0,86.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,16.0,24.0,201.0,2.0,0.0,1.0,0.0,30.0,127.0,1.0,19.0,6.0,52.0,0.0,73.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,-3.5,49.0,139.0,-154.0,AT&T Stadium,closed,matrixturf,,,REG,Sunday,16:25,Home,Jason Garrett,Jim Harbaugh,Terry McAulay
2014_01_CAR_TB,2014,1,2014-09-07,TB,CAR,14.0,20.0,CAR,22.0,38.0,183.0,2.0,2.0,3.0,0.0,17.0,102.0,0.0,16.0,4.0,35.0,1.0,69.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,24.0,35.0,230.0,2.0,0.0,1.0,0.0,33.0,113.0,0.0,19.0,5.0,35.0,0.0,87.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,5.5,38.5,-225.0,201.0,Raymond James Stadium,outdoors,grass,88.0,6.0,REG,Sunday,16:25,Home,Lovie Smith,Ron Rivera,Peter Morelli
2014_01_IND_DEN,2014,1,2014-09-07,DEN,IND,31.0,24.0,DEN,22.0,37.0,269.0,3.0,0.0,1.0,0.0,32.0,102.0,1.0,24.0,8.0,50.0,0.0,96.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,35.0,56.0,370.0,2.0,2.0,3.0,0.0,14.0,54.0,1.0,24.0,8.0,65.0,0.0,91.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,8.0,52.5,-380.0,330.0,Sports Authority Field at Mile High,outdoors,grass,75.0,6.0,REG,Sunday,20:30,Home,John Fox,Chuck Pagano,Tony Corrente
