game_id,season,week,date,home_team,away_team,home_score,away_score,Winner,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_td,home_pass_int,home_pass_sacked,home_pass_sacked_yds,home_rush_att,home_rush_yds,home_rush_td,home_first_down,home_penalties,home_penalties_yds,home_fumbles_lost,home_plays_offense,home_fga,home_fgm,home_xpa,home_xpm,home_punt,home_punt_yds,home_turnovers,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_td,away_pass_int,away_pass_sacked,away_pass_sacked_yds,away_rush_att,away_rush_yds,away_rush_td,away_first_down,away_penalties,away_penalties_yds,away_fumbles_lost,away_plays_offense,away_fga,away_fgm,away_xpa,away_xpm,away_punt,away_punt_yds,away_turnovers,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface,temp,wind,game_type,weekday,gametime,location,home_coach,away_coach,referee
2014_01_GB_SEA,2014,1,9/4/2014,SEA,GB,36,16,SEA,19,29,191,2,0,1,0,37,207,2,25,7,55,0,87,2,2,4,4,0,0,0,23,37,189,1,1,3,0,21,80,1,19,5,79,1,75,1,1,1,1,0,0,2,4.5,46.5,-230,205,CenturyLink Field,outdoors,fieldturf,71,11,REG,Thursday,20:30,Home,Pete Carroll,Mike McCarthy,John Parry
2014_01_NO_ATL,2014,1,9/7/2014,ATL,NO,37,34,ATL,31,44,448,3,0,1,0,25,123,1,28,6,47,1,93,3,3,4,4,0,0,1,29,42,333,1,1,0,0,28,139,3,30,7,76,1,92,2,2,4,4,0,0,2,-3,51,144,-160,Georgia Dome,dome,fieldturf,,,REG,Sunday,13:00,Home,Mike Smith,Sean Payton,Bill Leavy
2014_01_CIN_BAL,2014,1,9/7/2014,BAL,CIN,16,23,CIN,35,65,345,1,1,3,0,21,94,1,25,4,46,1,104,2,1,1,1,0,0,2,25,39,301,1,0,0,0,26,79,0,16,3,28,0,82,6,5,0,0,0,0,0,1,43.5,-113,102,M&T Bank Stadium,outdoors,sportturf,74,8,REG,Sunday,13:00,Home,John Harbaugh,Marvin Lewis,Gene Stetatore
2014_01_BUF_CHI,2014,1,9/7/2014,CHI,BUF,20,23,BUF,34,51,349,2,2,2,0,18,86,0,28,9,116,1,90,2,2,2,2,0,0,3,16,23,173,1,1,1,0,33,193,1,15,4,35,0,75,3,3,2,2,0,0,1,7,47,-270,239,Soldier Field,outdoors,grass,74,3,REG,Sunday,13:00,Home,Marc Trestman,Doug Marrone,Brad Allen
2014_01_WAS_HOU,2014,1,9/7/2014,HOU,WAS,17,6,HOU,14,22,206,1,0,0,0,34,115,0,15,6,56,1,74,1,1,2,2,0,0,1,29,40,267,0,0,3,0,23,131,1,20,7,60,2,78,0,0,1,0,0,0,2,3,43.5,-177,159,NRG Stadium,closed,grass,,,REG,Sunday,13:00,Home,Bill O'Brien,Jay Gruden,Jerome Boger
2014_01_TEN_KC,2014,1,9/7/2014,KC,TEN,10,26,TEN,19,39,202,1,3,4,0,17,67,0,15,5,50,0,75,2,1,1,1,0,0,3,22,37,266,2,0,4,0,38,162,0,23,10,85,0,101,4,4,2,2,0,0,0,3,45.5,-160,144,Arrowhead Stadium,outdoors,grass,69,7,REG,Sunday,13:00,Home,Andy Reid,Ken Whisenhunt,Ronald Torbert
2014_01_NE_MIA,2014,1,9/7/2014,MIA,NE,33,20,MIA,18,33,178,2,1,1,0,38,191,1,24,7,70,2,93,4,4,3,3,0,0,3,29,60,249,1,0,4,0,20,89,1,20,6,56,2,105,2,2,2,2,0,0,2,-3.5,47.5,161,-179,Sun Life Stadium,outdoors,grass,89,0,REG,Sunday,13:00,Home,Joe Philbin,Bill Belichick,Walt Anderson
2014_01_OAK_NYJ,2014,1,9/7/2014,NYJ,OAK,19,14,NYJ,23,32,221,1,1,2,0,34,212,1,20,8,69,1,87,2,2,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,6.5,41,-278,246,MetLife Stadium,outdoors,fieldturf,76,12,REG,Sunday,13:00,Home,Rex Ryan,Dennis Allen,Craig Wrolstad
2014_01_JAX_PHI,2014,1,9/7/2014,PHI,JAX,34,17,PHI,27,50,322,2,1,5,0,32,145,1,23,6,50,2,104,2,2,4,4,0,0,3,24,46,266,2,0,3,0,24,64,0,18,7,55,1,98,3,1,2,2,0,0,1,10,49,-515,435,Lincoln Financial Field,outdoors,grass,75,9,REG,Sunday,13:00,Home,Chip Kelly,Gus Bradley,Jeff Triplette
2014_01_CLE_PIT,2014,1,9/7/2014,PIT,CLE,30,27,PIT,24,38,390,1,1,3,0,29,127,2,24,9,67,0,92,3,3,3,3,0,0,1,18,33,222,1,0,3,0,31,191,2,22,10,84,0,89,2,2,3,3,0,0,0,5.5,41.5,-242,216,Heinz Field,outdoors,grass,71,6,REG,Sunday,13:00,Home,Mike Tomlin,Mike Pettine,Carl Cheffers
